Ime,Prezime,Katedra,H indeks,Broj radova,Author,Short Name
Vladimir,Trajkovic,Katedra za imunologiju,37,165,Vladimir Trajkovic,Trajkovic V.
Milos,Markovic,Katedra za imunologiju,11,27,Milos Markovic,Markovic M.
Emina,Milosevic,Katedra za imunologiju,8,15,Emina Milosevic,Milosevic E.
Vladimir,Perovic,Katedra za imunologiju,6,12,Vladimir Perovic,Perovic V.
Marina,Stamenkovic,Katedra za imunologiju,0,0,Marina Stamenkovic,Stamenkovic M.
Irena,Vukovic-Petrovic,Katedra za imunologiju,3,3,Irena Vukovic-Petrovic,Vukovic-Petrovic I.
Ljiljana,Markovic-Denic,Katedra za epidemiologiju,14,84,Ljiljana Markovic-Denic,Markovic-Denic L.
Sandra,Sipetic-Grujicic,Katedra za epidemiologiju,9,39,Sandra Sipetic-Grujicic,Sipetic-Grujicic S.
Tatjana,Pekmezovic,Katedra za epidemiologiju,27,267,Tatjana Pekmezovic,Pekmezovic T.
Darija,Kisic-Tepavcevic,Katedra za epidemiologiju,11,64,Darija Kisic-Tepavcevic,Kisic-Tepavcevic D.
Jadranka,Maksimovic,Katedra za epidemiologiju,9,36,Jadranka Maksimovic,Maksimovic J.
Natasa,Maksimovic,Katedra za epidemiologiju,9,37,Natasa Maksimovic,Maksimovic N.
Isidora,Vujcic,Katedra za epidemiologiju,12,27,Isidora Vujcic,Vujcic I.
Tatjana,Gazibara,Katedra za epidemiologiju,11,79,Tatjana Gazibara,Gazibara T.
Gorica,Maric,Katedra za epidemiologiju,6,26,Gorica Maric,Maric G.
Vuk,Marusic,Katedra za epidemiologiju,3,8,Vuk Marusic,Marusic V.
Aleksandra,Nikolic,Katedra za epidemiologiju,0,0,Aleksandra Nikolic,Nikolic A.
Aleksa,Jovanovic,Katedra za epidemiologiju,0,0,Aleksa Jovanovic,Jovanovic A.
Vladimir,Nikolic,Katedra za epidemiologiju,1,6,Vladimir Nikolic,Nikolic V.
Jasmina,Simonovic-Babic,Infektivne bolesti,2,18,Jasmina Simonovic-Babic,Simonovic-Babic J.
Milos,Korac,Infektivne bolesti,7,26,Milos Korac,Korac M.
Jovan,Ranin,Infektivne bolesti,8,42,Jovan Ranin,Ranin J.
Branko,Milosevic,Infektivne bolesti,6,32,Branko Milosevic,Milosevic B.
Goran,Stevanovic,Infektivne bolesti,6,39,Goran Stevanovic,Stevanovic G.
Jasmina,Poluga,Infektivne bolesti,5,18,Jasmina Poluga,Poluga J.
Ksenija,Bojovic,Infektivne bolesti,4,21,Ksenija Bojovic,Bojovic K.
Ivana,Milosevic,Infektivne bolesti,7,30,Ivana Milosevic,Milosevic I.
Aleksandra,Radovanovic-Spurnic,Infektivne bolesti,1,4,Aleksandra Radovanovic-Spurnic,Radovanovic-Spurnic A.
Nikola,Mitrovic,Infektivne bolesti,5,21,Nikola Mitrovic,Mitrovic N.
Natasa,Nikolic,Infektivne bolesti,2,12,Natasa Nikolic,Nikolic N.
Jelena,Jordovic,Infektivne bolesti,2,7,Jelena Jordovic,Jordovic J.
Jovan,Malinic,Infektivne bolesti,1,3,Jovan Malinic,Malinic J.
